player_id,player_name,player_firstname,player_lastname,player_age,player_nationality,player_height,player_weight,player_injured,player_photo,birth_date,birth_place,birth_country,id,name,logo,country,flag,season,appearences,lineups,minutes,number,position,rating,captain,substitutes.in,substitutes.out,substitutes.bench,shots.total,shots.on,team.id,team.name,team.logo,goals.total,goals.conceded,goals.assists,goals.saves,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,dribbles.past,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.scored,penalty.missed,penalty.saved,division,league,player_birth,full_name_x,concat_id,Ligas,Equipo,Nombre,Dorsal,Edad,Nacionalidades,Valor de mercado,matched_name,score,full_name_y
268960,A. Zakharyan,Arsen,Zakharyan,21.0,Russia,180.0,68.0,False,https://media.api-sports.io/football/players/268960.png,2003-05-26,Samara,Russia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,19.0,10.0,775.0,,Midfielder,6.689473,False,9.0,11.0,11.0,16.0,5.0,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,0.0,0.0,1.0,,279.0,15.0,10.0,15.0,,1.0,94.0,40.0,22.0,7.0,,8.0,13.0,1.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Arsen Zakharyan,La Liga-Real Sociedad-Arsen Zakharyan,La Liga,Real Sociedad,Arsen Zakharyan,12,20,Rusia,15000000,La Liga-Real Sociedad-Arsen Zakharyan,100,La Liga-Real Sociedad-Arsen Zakharyan
1920,N. Radonjic,Nemanja,Radonjic,28.0,Serbia,185.0,78.0,False,https://media.api-sports.io/football/players/1920.png,1996-02-15,Nis,Serbia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,3.0,1.0,79.0,,Midfielder,6.866666,False,2.0,1.0,4.0,4.0,3.0,798,Mallorca,https://media.api-sports.io/football/teams/798.png,0.0,0.0,,,24.0,2.0,7.0,,,1.0,15.0,8.0,8.0,5.0,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Nemanja Radonjic,La Liga-Mallorca-Nemanja Radonjic,La Liga,Mallorca,Nemanja Radonjic,23,28,Serbia,3000000,La Liga-Mallorca-Nemanja Radonjic,100,La Liga-Mallorca-Nemanja Radonjic
46738,M. Valjent,Martin,Valjent,29.0,Slovakia,187.0,70.0,False,https://media.api-sports.io/football/players/46738.png,1995-12-11,Dubnica nad Vahom,Slovakia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,22.0,22.0,1848.0,,Defender,6.740909,False,0.0,4.0,0.0,3.0,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,0.0,0.0,,,729.0,4.0,26.0,28.0,11.0,23.0,122.0,70.0,3.0,1.0,,7.0,23.0,4.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Martin Valjent,La Liga-Mallorca-Martin Valjent,La Liga,Mallorca,Martin Valjent,24,28,Eslovaquia,4500000,La Liga-Mallorca-Martin Valjent,100,La Liga-Mallorca-Martin Valjent
403,M. Nastasic,Matija,Nastasic,31.0,Serbia,188.0,83.0,False,https://media.api-sports.io/football/players/403.png,1993-03-28,Valjevo,Serbia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,20.0,19.0,1717.0,,Defender,6.88,False,1.0,0.0,5.0,5.0,2.0,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2.0,0.0,,,689.0,4.0,27.0,26.0,16.0,22.0,109.0,61.0,,,,7.0,20.0,7.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Matija Nastasic,La Liga-Mallorca-Matija Nastasic,La Liga,Mallorca,Matija Nastasic,2,30,Serbia,1500000,La Liga-Mallorca-Matija Nastasic,100,La Liga-Mallorca-Matija Nastasic
2814,P. Rajkovic,Predrag,Rajkovic,29.0,Serbia,191.0,86.0,False,https://media.api-sports.io/football/players/2814.png,1995-10-31,Negotin,Serbia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,28.0,28.0,2520.0,,Goalkeeper,7.125,False,0.0,0.0,0.0,,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,0.0,35.0,,77.0,887.0,3.0,17.0,1.0,,,11.0,10.0,2.0,2.0,,3.0,,2.0,0.0,0.0,,,0.0,0.0,0.0,1.0,La Liga,,Predrag Rajkovic,La Liga-Mallorca-Predrag Rajkovic,La Liga,Mallorca,Predrag Rajkovic,1,28,Serbia,10000000,La Liga-Mallorca-Predrag Rajkovic,100,La Liga-Mallorca-Predrag Rajkovic
37639,S. Van der Heyden,Siebe,Van der Heyden,26.0,Belgium,185.0,76.0,False,https://media.api-sports.io/football/players/37639.png,1998-05-30,Denderleeuw,Belgium,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,6.0,4.0,287.0,,Defender,6.633333,False,2.0,3.0,22.0,1.0,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,0.0,0.0,,,92.0,,12.0,10.0,1.0,7.0,34.0,18.0,,,,1.0,8.0,2.0,0.0,1.0,,,0.0,0.0,,1.0,La Liga,,Siebe Van der Heyden,La Liga-Mallorca-Siebe Van der Heyden,La Liga,Mallorca,Siebe Van der Heyden,4,25,Belgica,3000000,La Liga-Mallorca-Siebe Van der Heyden,100,La Liga-Mallorca-Siebe Van der Heyden
29,J. Oblak,Jan,Oblak,31.0,Slovenia,188.0,87.0,False,https://media.api-sports.io/football/players/29.png,1993-01-07,Skofja Loka,Slovenia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,28.0,28.0,2520.0,,Goalkeeper,6.992857,False,0.0,0.0,0.0,,,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,0.0,31.0,,81.0,609.0,,15.0,,,,8.0,7.0,1.0,1.0,,1.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,La Liga,,Jan Oblak,La Liga-Atletico Madrid-Jan Oblak,La Liga,Atletico Madrid,Jan Oblak,13,31,Eslovenia,35000000,La Liga-Atletico Madrid-Jan Oblak,100,La Liga-Atletico Madrid-Jan Oblak
291964,A. Guler,Arda,Guler,19.0,Turkiye,176.0,,False,https://media.api-sports.io/football/players/291964.png,2005-02-25,Ankara,Turkiye,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,4.0,0.0,26.0,,Midfielder,7.0,False,4.0,0.0,11.0,1.0,1.0,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,1.0,0.0,,,24.0,,5.0,2.0,,,9.0,4.0,2.0,1.0,,1.0,4.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Arda Guler,La Liga-Real Madrid-Arda Guler,La Liga,Real Madrid,Arda Guler,24,19,Turquia,15000000,La Liga-Real Madrid-Arda Guler,100,La Liga-Real Madrid-Arda Guler
752,T. Kroos,Toni,Kroos,34.0,Germany,183.0,76.0,False,https://media.api-sports.io/football/players/752.png,1990-01-04,Greifswald,Germany,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,27.0,19.0,1721.0,,Midfielder,7.674074,False,8.0,9.0,9.0,23.0,11.0,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,1.0,0.0,7.0,,1930.0,53.0,67.0,46.0,4.0,12.0,138.0,88.0,5.0,3.0,,34.0,16.0,3.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Toni Kroos,La Liga-Real Madrid-Toni Kroos,La Liga,Real Madrid,Toni Kroos,8,34,Alemania,14000000,La Liga-Real Madrid-Toni Kroos,100,La Liga-Real Madrid-Toni Kroos
754,L. Modric,Luka,Modric,39.0,Croatia,172.0,66.0,False,https://media.api-sports.io/football/players/754.png,1985-09-09,Zadar,Croatia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,23.0,12.0,1141.0,,Midfielder,7.369565,False,11.0,10.0,15.0,14.0,7.0,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2.0,0.0,4.0,,1014.0,43.0,40.0,16.0,3.0,17.0,100.0,48.0,22.0,11.0,,16.0,15.0,1.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Luka Modric,La Liga-Real Madrid-Luka Modric,La Liga,Real Madrid,Luka Modric,10,38,Croacia,10000000,La Liga-Real Madrid-Luka Modric,100,La Liga-Real Madrid-Luka Modric
2285,A. Rudiger,Antonio,Rudiger,31.0,Germany,190.0,85.0,False,https://media.api-sports.io/football/players/2285.png,1993-03-03,Berlin,Germany,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,24.0,23.0,2066.0,,Defender,7.0125,False,1.0,1.0,1.0,11.0,2.0,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,1.0,0.0,,,1372.0,4.0,51.0,19.0,17.0,10.0,112.0,65.0,2.0,1.0,,4.0,21.0,7.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Antonio Rudiger,La Liga-Real Madrid-Antonio Rudiger,La Liga,Real Madrid,Antonio Rudiger,22,31,"Alemania, Sierra Leona",25000000,La Liga-Real Madrid-Antonio Rudiger,100,La Liga-Real Madrid-Antonio Rudiger
3033,C. Bakambu,Cedric,Bakambu,33.0,Congo DR,182.0,73.0,False,https://media.api-sports.io/football/players/3033.png,1991-04-11,Ivry-sur-Seine,France,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,1.0,0.0,24.0,,Attacker,6.7,False,1.0,0.0,1.0,1.0,,543,Real Betis,https://media.api-sports.io/football/teams/543.png,0.0,0.0,,,5.0,1.0,4.0,,,,2.0,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Cedric Bakambu,La Liga-Real Betis-Cedric Bakambu,La Liga,Real Betis,Cedric Bakambu,11,32,"RD del Congo, Francia",2800000,La Liga-Real Betis-Cedric Bakambu,100,La Liga-Real Betis-Cedric Bakambu
668,N. Fekir,Nabil,Fekir,31.0,France,173.0,72.0,False,https://media.api-sports.io/football/players/668.png,1993-07-18,Lyon,France,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,10.0,6.0,583.0,,Attacker,7.144444,False,4.0,3.0,5.0,12.0,5.0,543,Real Betis,https://media.api-sports.io/football/teams/543.png,0.0,0.0,2.0,,303.0,15.0,26.0,10.0,,5.0,69.0,42.0,13.0,11.0,,15.0,10.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Nabil Fekir,La Liga-Real Betis-Nabil Fekir,La Liga,Real Betis,Nabil Fekir,8,30,"Francia, Argelia",12000000,La Liga-Real Betis-Nabil Fekir,100,La Liga-Real Betis-Nabil Fekir
2476,G. Rodriguez,Guido,Rodriguez,30.0,Argentina,185.0,80.0,False,https://media.api-sports.io/football/players/2476.png,1994-04-12,Caseros,Argentina,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,16.0,14.0,1201.0,,Midfielder,7.03125,False,2.0,6.0,2.0,9.0,6.0,543,Real Betis,https://media.api-sports.io/football/teams/543.png,2.0,0.0,,,638.0,3.0,35.0,23.0,3.0,18.0,123.0,69.0,10.0,8.0,,26.0,17.0,6.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Guido Rodriguez,La Liga-Real Betis-Guido Rodriguez,La Liga,Real Betis,Guido Rodriguez,5,29,"Argentina, Italia",24000000,La Liga-Real Betis-Guido Rodriguez,100,La Liga-Real Betis-Guido Rodriguez
1264,Y. Sabaly,Youssouf,Sabaly,31.0,Senegal,174.0,67.0,False,https://media.api-sports.io/football/players/1264.png,1993-03-05,Chesnay,France,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,6.0,6.0,538.0,,Defender,6.916666,False,0.0,1.0,3.0,2.0,,543,Real Betis,https://media.api-sports.io/football/teams/543.png,0.0,0.0,1.0,,284.0,2.0,41.0,10.0,2.0,7.0,42.0,26.0,12.0,8.0,,3.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Youssouf Sabaly,La Liga-Real Betis-Youssouf Sabaly,La Liga,Real Betis,Youssouf Sabaly,23,31,"Senegal, Francia",4000000,La Liga-Real Betis-Youssouf Sabaly,100,La Liga-Real Betis-Youssouf Sabaly
1450,S. Papastathopoulos,Sokratis,Papastathopoulos,36.0,Greece,186.0,85.0,False,https://media.api-sports.io/football/players/1450.png,1988-06-09,Kalamata,Greece,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,9.0,8.0,702.0,,Defender,6.866666,False,1.0,1.0,7.0,1.0,1.0,543,Real Betis,https://media.api-sports.io/football/teams/543.png,0.0,0.0,,,342.0,1.0,33.0,10.0,7.0,6.0,62.0,37.0,,,,5.0,8.0,5.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Sokratis Papastathopoulos,La Liga-Real Betis-Sokratis Papastathopoulos,La Liga,Real Betis,Sokratis Papastathopoulos,19,35,Grecia,800000,La Liga-Real Betis-Sokratis Papastathopoulos,100,La Liga-Real Betis-Sokratis Papastathopoulos
40419,A. Sedlar,Aleksandar,Sedlar,33.0,Serbia,178.0,79.0,False,https://media.api-sports.io/football/players/40419.png,1991-12-13,Novi Sad,Serbia,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,11.0,11.0,949.0,,Defender,6.745454,False,0.0,3.0,1.0,4.0,1.0,542,Alaves,https://media.api-sports.io/football/teams/542.png,1.0,0.0,,,402.0,2.0,31.0,14.0,4.0,13.0,76.0,36.0,2.0,2.0,,4.0,14.0,2.0,0.0,0.0,,,0.0,0.0,,1.0,La Liga,,Aleksandar Sedlar,La Liga-Alaves-Aleksandar Sedlar,La Liga,Alaves,Aleksandar Sedlar,4,32,Serbia,500000,La Liga-Alaves-Aleksandar Sedlar,100,La Liga-Alaves-Aleksandar Sedlar
43084,I. Hagi,Ianis,Hagi,26.0,Romania,182.0,72.0,False,https://media.api-sports.io/football/players/43084.png,1998-10-22,Istanbul,Turkiye,140,La Liga,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,17.0,6.0,575.0,,Midfielder,6.823529,False,11.0,6.0,19.0,19.0,6.0,542,Alaves,https://media.api-sports.io/football/teams/542.png,0.0,0.0,1.0,,168.0,17.0,7.0,10.0,,2.0,82.0,44.0,17.0,10.0,,17.0,7.0,2.0,0.0,0.0,,,0.0,1.0,,1.0,La Liga,,Ianis Hagi,La Liga-Alaves-Ianis Hagi,La Liga,Alaves,Ianis Hagi,10,25,Rumania,3500000,La Liga-Alaves-Ianis Hagi,100,La Liga-Alaves-Ianis Hagi
